,filename,measure,current_chord,next_chord,current_position,next_position
0,0,8.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
1,0,8.0,E5,G5,0.2.x.x.x.x,3.5.x.x.x.x
2,0,8.5,A5,E5,5.7.x.x.x.x,0.2.x.x.x.x
3,0,12.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
4,2,83.5,C/E,Bb,x.7.5.5.5.x,x.1.3.3.3.x
5,2,79.5,A7,A7sus2,x.0.2.0.2.0,x.0.2.0.0.0
6,2,80.0,A7sus2,F,x.0.2.0.0.0,x.8.7.5.6.5
7,2,36.5,F,C/E,x.8.7.5.6.5,x.7.5.5.5.x
8,2,1.5,Dm,Dm,x.5.7.7.6.5,x.5.7.7.6.5
9,2,9.0,Dm,C,x.5.7.7.6.5,x.3.5.5.5.x
10,2,10.0,Bb,A,x.1.3.3.3.x,x.0.2.2.2.0
11,2,9.5,C,Bb,x.3.5.5.5.x,x.1.3.3.3.x
12,2,24.5,Bb5,C,x.1.3.3.x.x,x.3.5.5.5.x
13,2,23.5,Dm,Bb5,x.5.7.7.6.5,x.1.3.3.x.x
14,2,43.5,C,Bb5,x.3.5.5.5.x,x.1.3.3.x.x
15,2,12.5,A7,Dm,x.0.2.0.2.0,x.5.7.7.6.5
16,2,42.5,Bb,C,x.1.3.3.3.x,x.3.5.5.5.x
17,2,53.5,C,C,x.3.5.5.5.x,x.3.5.5.5.x
18,2,54.5,C,Dm,x.3.5.5.5.x,x.5.7.7.6.5
19,2,65.5,C,C/E,x.3.5.5.5.x,x.7.5.5.5.x
20,2,42.0,Bb5,Bb,x.1.3.3.x.x,x.1.3.3.3.x
21,2,37.5,C/E,Bb/D,x.7.5.5.5.x,x.5.3.3.3.x
22,2,62.0,A7,F,x.0.2.0.2.0,x.8.7.5.6.5
23,2,69.5,Dm,Bb,x.5.7.7.6.5,x.1.3.3.3.x
24,2,78.5,A,A7,x.0.2.2.2.0,x.0.2.0.2.0
25,5,31.5,A,A7,x.0.2.2.2.0,x.0.2.0.2.0
26,5,32.5,A7,E,x.0.2.0.2.0,0.2.2.1.0.0
27,5,82.5,C,G,x.3.2.0.1.0,3.2.0.0.0.3
28,5,38.5,A7,D7,x.0.2.0.2.0,x.x.0.2.1.2
29,5,33.5,E,A7,0.2.2.1.0.0,x.0.2.0.2.0
30,5,34.5,A7,E7,x.0.2.0.2.0,0.2.0.1.3.0
31,5,35.5,E7,A7,0.2.0.1.3.0,x.0.2.0.2.0
32,5,11.5,A7,G,x.0.2.0.2.0,3.2.0.0.0.3
33,5,10.5,C,A7,x.3.2.0.1.0,x.0.2.0.2.0
34,5,9.5,Em,C,0.2.2.0.0.3,x.3.2.0.1.0
35,5,8.5,G,Em,3.2.0.0.0.3,0.2.2.0.0.3
36,5,14.5,C,A,x.3.2.0.1.0,x.0.2.2.2.0
37,5,81.5,A7,C,x.0.2.0.2.0,x.3.2.0.1.0
38,6,15.0,Am,G/B,x.0.2.2.1.x,x.2.0.0.3.x
39,6,0.5,C,C7M,x.3.2.x.1.x,x.3.2.x.0.x
40,6,61.5,G,Am9,3.2.0.0.0.3,x.0.7.5.0.x
41,6,35.5,Am/G,D/F#,3.x.2.2.1.x,2.x.0.2.3.x
42,6,34.5,Am,Am/G,x.0.2.2.1.x,3.x.2.2.1.x
43,6,33.5,G,Am,3.2.0.0.0.3,x.0.2.2.1.x
44,6,32.5,D/F#,G,2.x.0.2.3.x,3.2.0.0.0.3
45,6,31.5,Am,D/F#,x.0.2.2.1.x,2.x.0.2.3.x
46,6,21.5,Dm,Am,x.x.0.2.3.1,x.0.2.2.1.x
47,6,20.5,G,Dm,3.2.0.0.0.3,x.x.0.2.3.1
48,6,19.5,Am,G,x.0.2.2.1.x,3.2.0.0.0.3
49,6,18.5,Am,Am,x.0.2.2.1.x,x.0.2.2.1.x
50,6,17.5,G/B,Am,x.2.0.0.3.x,x.0.2.2.1.x
51,6,1.5,C7M,C9,x.3.2.x.0.x,x.3.2.x.3.x
52,6,2.5,C9,C,x.3.2.x.3.x,x.3.2.x.1.x
53,6,62.5,Am9,Am9,x.0.7.5.0.x,x.0.7.5.0.x
54,6,16.5,C,G/B,x.3.2.x.1.x,x.2.0.0.3.x
55,6,86.5,A9,Am,x.0.2.2.0.x,x.0.2.2.1.x
56,6,78.5,Fadd#11/A,C,x.0.3.5.0.x,x.3.2.x.1.x
57,6,69.5,Fadd#11/A,Am9,x.0.3.5.0.x,x.0.7.5.0.x
58,6,68.5,F6/A,Fadd#11/A,x.0.3.5.3.x,x.0.3.5.0.x
59,6,67.5,Fadd#11/A,F6/A,x.0.3.5.0.x,x.0.3.5.3.x
60,6,66.5,Fadd#11/A,Fadd#11/A,x.0.3.5.0.x,x.0.3.5.0.x
61,6,3.5,C,A9,x.3.2.x.1.x,x.0.2.2.0.x
62,6,65.5,G/A,Fadd#11/A,x.0.5.7.0.x,x.0.3.5.0.x
63,6,4.5,A9,Asus4,x.0.2.2.0.x,x.0.2.2.3.x
64,6,5.5,Asus4,Am,x.0.2.2.3.x,x.0.2.2.1.x
65,6,6.5,Am,A9,x.0.2.2.1.x,x.0.2.2.0.x
66,6,7.5,A9,C9,x.0.2.2.0.x,x.3.2.x.3.x
67,6,11.5,C9,Am,x.3.2.x.3.x,x.0.2.2.1.x
68,6,63.5,Am9,G/A,x.0.7.5.0.x,x.0.5.7.0.x
69,6,64.5,G/A,G/A,x.0.5.7.0.x,x.0.5.7.0.x
70,6,15.5,G/B,C,x.2.0.0.3.x,x.3.2.x.1.x
71,8,4.5,Gadd9,G6,3.x.0.2.x.x,x.x.0.4.3.0
72,8,112.5,G,Ab9,3.5.5.4.3.3,x.x.6.5.7.6
73,8,13.0,Ab9,G9,x.6.4.5.x.x,x.5.3.4.3.x
74,8,13.0,C,Ab9,3.x.2.0.1.3,x.6.4.5.x.x
75,8,11.5,Csus4,C,x.x.3.0.1.3,x.3.2.0.1.3
76,8,12.0,C,Csus4,x.3.2.0.1.3,x.x.3.0.1.3
77,8,10.5,Gm9,Csus4,x.x.8.7.6.5,x.x.3.0.1.3
78,8,9.5,G9,Gm9,x.x.5.4.6.5,x.x.8.7.6.5
79,8,8.5,G,Cm6/+9,3.x.0.0.3.x,x.3.1.2.3.x
80,8,9.0,Ab9,G9,x.x.6.5.7.6,x.x.5.4.6.5
81,8,9.0,Cm6,Ab9,x.3.1.2.1.x,x.x.6.5.7.6
82,8,7.5,G,G,3.x.0.0.3.x,3.x.0.0.3.x
83,8,7.0,Cm6,G,x.3.1.2.1.x,3.x.0.0.3.x
84,8,7.0,Cm6/+9,Cm6,x.3.1.2.3.x,x.3.1.2.1.x
85,8,5.0,G6,G,x.x.0.4.3.0,3.x.0.0.3.x
86,8,3.5,Eb/G,Gadd9,3.x.5.3.4.x,3.x.0.2.x.x
87,8,3.0,G,Eb/G,3.x.x.4.3.x,3.x.5.3.4.x
88,8,3.0,Gaug,G,3.x.x.4.4.x,3.x.x.4.3.x
89,8,0.5,G5,Gmaj7,3.x.0.0.3.3,3.x.0.0.3.2
90,8,12.5,Csus4,C,x.x.3.0.1.3,3.x.2.0.1.3
91,8,120.0,C,Csus4,x.x.2.0.1.3,x.x.3.0.1.3
92,8,13.5,G9,Gm9,x.5.3.4.3.x,x.x.8.7.6.5
93,8,21.0,Csus4,Gadd9,x.x.3.0.1.3,3.x.0.2.x.x
94,8,100.0,C,G,x.3.2.0.1.3,3.5.5.4.3.3
95,8,98.0,G,F/G,3.5.5.4.3.3,3.x.3.2.1.1
96,8,89.5,Gadd9,Gaug5,3.x.0.2.x.x,3.x.1.2.4.x
97,8,80.5,Csus4,C,x.x.3.0.1.3,x.x.2.0.1.3
98,8,81.0,C,Ab9,x.x.2.0.1.3,x.x.6.5.7.6
99,8,59.5,C7M,Bm7,x.3.5.4.5.3,7.x.0.7.7.5
100,8,58.5,Dm7,C7M,x.5.7.5.6.x,x.3.5.4.5.3
101,8,50.5,Csus4,Csus4,x.x.3.0.1.3,x.x.3.0.1.x
102,8,51.0,Csus4,Gadd9,x.x.3.0.1.x,3.x.0.2.x.x
103,8,29.5,Gadd9,G6,3.x.0.2.3.x,3.x.0.4.3.x
104,8,30.0,G6,G5,3.x.0.4.3.x,3.x.0.0.3.3
105,8,28.5,Am7add4,Gadd9,0.0.5.5.3.x,3.x.0.2.3.x
106,8,26.0,C7M,Bm7,x.3.5.4.5.3,7.x.7.7.7.0
107,8,23.5,G6,G7,3.x.2.2.3.x,3.x.3.2.x.x
108,8,22.5,Gaug5,G6,3.x.1.2.4.x,3.x.2.2.3.x
109,8,21.5,Gadd9,G,3.x.0.2.x.x,3.x.0.0.0.x
110,8,22.0,G,Gaug5,3.x.0.0.0.x,3.x.1.2.4.x
111,8,16.5,C,Ab9,x.3.2.0.1.3,x.x.6.5.7.6
112,8,116.0,C,Csus4,3.x.2.0.1.3,x.x.3.0.1.3
113,8,58.0,C7M,Dm7,x.3.5.4.5.3,x.5.7.5.6.x
114,9,31.5,Bm7/11,E5,x.x.x.2.3.0,0.7.9.9.x.x
115,9,30.5,D,B5,x.5.7.7.7.x,x.2.4.4.x.x
116,9,31.0,B5,Bm7/11,x.2.4.4.x.x,x.x.x.2.3.0
117,9,29.5,E5,D,x.7.9.x.x.x,x.5.7.7.7.x
118,9,28.5,E5,G5,0.7.9.9.x.x,x.10.12.x.x.x
119,9,29.0,G5,F#5,x.10.12.x.x.x,x.9.11.x.x.x
120,9,29.0,F#5,E5,x.9.11.x.x.x,x.7.9.x.x.x
121,9,29.0,E5,F#5,x.7.9.x.x.x,x.9.11.x.x.x
122,10,146.0,F,G,x.x.3.2.1.x,x.x.5.4.3.x
123,10,147.0,Am,G,x.x.7.5.5.x,x.x.5.4.3.x
124,10,146.5,G,Am,x.x.5.4.3.x,x.x.7.5.5.x
125,10,147.5,G,F,x.x.5.4.3.x,x.x.3.2.1.x
126,15,37.5,Daug/C,Ab7M,x.3.x.3.3.2,4.6.5.5.4.x
127,15,34.0,Daug/C,C9(no5),x.3.x.3.3.2,x.3.x.3.3.0
128,15,7.5,Bbm/Eb,Ab7M,x.6.8.6.6.x,4.6.5.5.4.x
129,15,34.5,C9(no5),Daug/C,x.3.x.3.3.0,x.3.x.3.3.2
130,16,18.0,A,E,x.x.14.14.14.x,x.x.21.21.21.x
131,16,5.0,B,Bsus4,x.2.4.4.4.x,x.2.4.4.5.x
132,16,74.5,B,A,x.2.4.4.4.x,x.x.14.14.14.x
133,16,31.5,B,A,x.x.16.16.16.x,x.x.14.14.14.x
134,16,18.5,B,B,x.x.16.16.16.x,x.2.4.4.4.x
135,16,17.5,E,A,x.x.21.21.21.x,x.x.14.14.14.x
136,16,18.0,E,B,x.x.21.21.21.x,x.x.16.16.16.x
137,16,17.0,D,E,x.x.19.19.19.x,x.x.21.21.21.x
138,16,12.5,B,F#5,x.2.4.4.4.x,2.4.4.x.x.x
139,16,5.5,Bsus4,B,x.2.4.4.5.x,x.2.4.4.4.x
140,17,97.5,D,Bm,x.x.0.2.3.2,x.2.4.4.3.2
141,17,98.5,Bm,F#m,x.2.4.4.3.2,2.4.4.2.2.2
142,17,99.5,F#m,F#m,2.4.4.2.2.2,2.4.4.2.2.2
143,17,113.5,G,A,3.5.5.4.3.3,5.7.7.6.5.5
144,17,110.5,Bm,A,x.2.4.4.3.2,x.0.2.2.2.0
145,17,99.0,F#m,F#7sus4,2.4.4.2.2.2,2.4.2.4.x.x
146,17,120.5,G,A,3.5.5.4.3.3,x.0.2.2.2.0
147,17,119.5,G,G,3.5.5.4.3.3,3.5.5.4.3.3
148,17,100.5,F#m,D,2.4.4.2.2.2,x.x.0.2.3.2
149,17,114.5,A,G,5.7.7.6.5.5,3.5.5.4.3.3
150,17,99.0,F#7sus4,F#m,2.4.2.4.x.x,2.4.4.2.2.2
151,18,138.5,Em,C,0.2.2.0.0.0,x.3.2.0.1.0
152,18,33.0,D,Dsus2,x.x.0.2.3.2,x.x.0.2.3.0
153,18,33.0,Dsus2,D,x.x.0.2.3.0,x.x.0.2.3.2
154,18,34.0,D,Dsus4,x.x.0.2.3.2,x.x.0.2.3.3
155,18,34.0,Dsus4,D,x.x.0.2.3.3,x.x.0.2.3.2
156,18,34.5,D,A,x.x.0.2.3.2,x.0.2.2.2.x
157,18,36.0,Am,Asus2,x.0.2.2.1.0,x.0.2.2.0.0
158,18,36.0,Asus2,Am,x.0.2.2.0.0,x.0.2.2.1.0
159,18,35.5,A,Am,x.0.2.2.2.x,x.0.2.2.1.0
160,18,31.0,B,Em,x.2.4.4.4.2,0.2.2.0.0.0
161,18,36.5,Am,Em,x.0.2.2.1.0,0.2.2.0.0.0
162,18,39.5,D,Em,x.x.0.2.3.2,0.2.2.0.0.0
163,18,42.5,D,A,x.x.0.2.3.2,x.0.2.2.2.0
164,18,43.5,A,Am,x.0.2.2.2.0,x.0.2.2.1.0
165,18,79.5,Em,Am,0.2.2.0.0.0,x.0.2.2.1.0
166,18,93.5,Dsus2,Em,x.x.0.2.3.0,0.2.2.0.0.0
167,18,139.5,C,D,x.3.2.0.1.0,x.x.0.2.3.2
168,18,152.5,D,D,x.x.0.2.3.2,x.x.0.2.3.2
169,18,199.5,C,C,x.3.5.5.5.3,x.3.5.5.5.3
170,18,37.5,Em,D,0.2.2.0.0.0,x.x.0.2.3.2
171,18,22.0,D,Eb,x.x.0.2.3.2,x.6.8.8.8.6
172,18,22.0,C,D,x.3.5.5.5.3,x.x.0.2.3.2
173,18,9.5,Eb,Db,x.6.8.8.8.6,x.4.6.6.6.4
174,18,10.0,Ab,B,4.6.6.5.4.4,x.2.4.4.4.2
175,18,10.0,Db,Ab,x.4.6.6.6.4,4.6.6.5.4.4
176,18,9.0,Bb,Eb,x.1.3.3.3.1,x.6.8.8.8.6
177,18,9.0,C,Bb,x.3.5.5.5.3,x.1.3.3.3.1
178,18,8.0,Eb,Bb,x.6.8.8.8.6,x.1.3.3.3.1
179,18,8.0,D,Eb,x.5.7.7.7.5,x.6.8.8.8.6
180,18,7.0,C,D,x.3.5.5.5.3,x.5.7.7.7.5
181,18,7.0,D,C,x.5.7.7.7.5,x.3.5.5.5.3
182,18,5.5,Bb,C,x.1.3.3.3.1,x.3.5.5.5.3
183,19,0.5,E,D5,x.7.9.9.9.x,x.5.7.7.x.x
184,19,2.0,D/C#,A5,x.4.7.x.x.x,x.0.2.2.x.x
185,19,45.5,G5,D5,3.x.0.0.3.3,x.x.0.2.3.x
186,19,41.5,D5,C5,x.5.7.7.x.x,x.3.5.x.x.x
187,19,34.5,D5,A5,x.5.7.7.x.x,x.0.2.2.x.x
188,19,44.5,C5,G5,x.3.5.x.x.x,3.x.0.0.3.3
189,19,46.0,D5,A5,x.x.0.2.3.x,x.0.2.2.x.x
190,19,33.0,A5,C5,x.0.2.2.x.x,x.3.5.x.x.x
191,19,2.0,A5,E,x.0.2.2.x.x,x.7.9.9.9.x
192,19,33.5,C5,D5,x.3.5.x.x.x,x.5.7.7.x.x
193,19,6.5,E,E,x.7.9.9.9.x,x.7.9.9.9.x
194,19,1.5,D5,D/C#,x.5.7.7.x.x,x.4.7.x.x.x
195,21,5.0,A,E,x.0.2.2.2.x,0.2.2.1.x.x
196,21,6.0,F#m,C#m,2.4.4.2.2.2,x.4.6.6.5.4
197,21,5.5,E,F#m,0.2.2.1.x.x,2.4.4.2.2.2
198,21,7.0,D,A,x.x.0.2.3.2,x.0.2.2.2.x
199,21,6.5,C#m,D,x.4.6.6.5.4,x.x.0.2.3.2
200,21,14.5,D,C,x.x.0.2.3.2,x.3.2.0.1.0
201,21,10.5,F#m,D,2.4.4.2.2.2,x.x.0.2.3.2
202,21,12.0,E,Esus4,0.2.2.1.x.x,0.2.2.2.0.0
203,21,12.0,Esus4,E,0.2.2.2.0.0,0.2.2.1.x.x
204,21,13.0,G5,D,3.x.0.0.3.3,x.x.0.2.3.2
205,21,12.5,E,G5,0.2.2.1.x.x,3.x.0.0.3.3
206,21,13.5,D,G5,x.x.0.2.3.2,3.x.0.0.3.3
207,21,15.0,C,G5,x.3.2.0.1.0,3.x.0.0.3.3
208,21,8.5,E,A,0.2.2.1.x.x,x.0.2.2.2.x
209,21,15.5,G5,E,3.x.0.0.3.3,0.2.2.1.x.x
210,21,21.5,E,C#m,0.2.2.1.x.x,x.4.6.6.5.4
211,21,24.0,D,Bb5,x.x.0.2.3.2,x.1.3.3.x.x
212,21,24.0,Bb5,C5,x.1.3.3.x.x,x.3.5.5.x.x
213,21,24.0,C5,F5,x.3.5.5.x.x,1.3.3.x.x.x
214,21,25.0,G5,Bb5,3.5.5.x.x.x,x.1.3.3.x.x
215,21,24.5,F5,G5,1.3.3.x.x.x,3.5.5.x.x.x
216,21,19.5,E,D,0.2.2.1.x.x,x.x.0.2.3.2
217,23,127.5,Am,Em,5.7.7.5.5.5,0.2.2.0.0.0
218,23,114.5,Bm,Emadd9,7.9.9.7.7.7,0.2.4.0.0.0
219,23,49.0,G,D,3.2.0.0.0.3,x.x.0.2.3.2
220,23,94.5,D,Emadd9,x.x.0.2.3.2,0.2.4.0.0.0
221,23,90.5,Dsus4,G,x.x.0.2.3.3,3.2.0.0.0.3
222,23,82.0,C,D,x.3.2.0.1.0,x.x.0.2.3.2
223,23,82.5,D,G,x.x.0.2.3.2,3.2.0.0.0.3
224,23,53.5,C,Em,x.3.2.0.1.0,0.2.2.0.0.0
225,23,126.5,Bm,Am,7.9.9.7.7.7,5.7.7.5.5.5
226,23,49.5,D,C,x.x.0.2.3.2,x.3.2.0.1.0
227,23,90.0,D,Dsus4,x.x.0.2.3.2,x.x.0.2.3.3
228,23,52.5,Bm,C,x.2.4.4.3.2,x.3.2.0.1.0
229,24,129.0,Dsus4,D,x.0.x.7.8.x,x.0.x.7.7.x
230,24,130.5,E/C,G/A,x.x.10.9.0.x,x.0.5.4.x.x
231,24,131.5,Am,G/A,x.0.7.5.x.x,x.0.5.4.x.x
232,24,134.0,D6,Am,x.0.9.7.x.x,x.0.10.9.x.x
233,24,131.0,G/A,Am,x.0.5.4.x.x,x.0.7.5.x.x
234,24,129.5,D,D6,x.0.x.7.7.x,x.0.9.7.x.x
235,24,130.0,D6,E/C,x.0.9.7.x.x,x.x.10.9.0.x
236,24,134.5,Am,G/A,x.0.10.9.x.x,x.0.5.4.x.x
237,24,26.5,Dm,A,x.5.7.7.6.5,x.0.2.2.2.0
238,24,26.0,Dsus2,Dm,x.5.7.7.5.5,x.5.7.7.6.5
239,24,26.0,Dm,Dsus2,x.5.7.7.6.5,x.5.7.7.5.5
240,24,132.5,G/A,A7,x.0.5.4.x.x,x.0.x.9.8.x
241,24,133.0,A7,D,x.0.x.9.8.x,x.0.x.7.7.x
242,26,9.5,F,C,1.3.3.2.1.1,x.3.2.0.1.0
243,26,13.5,C,G,x.3.2.0.1.0,3.2.0.0.0.3
244,26,14.5,G,G,3.2.0.0.0.3,3.2.0.0.0.3
245,26,17.5,G,C,3.2.0.0.0.3,x.3.2.0.1.0
246,26,36.0,G,F,3.2.0.0.0.3,1.3.3.2.1.1
247,26,10.5,C,C,x.3.2.0.1.0,x.3.2.0.1.0
248,26,8.5,C,F,x.3.2.0.1.0,1.3.3.2.1.1
249,30,22.5,F5,C5,1.3.3.x.x.x,x.3.5.5.x.x
250,30,23.5,C5,F5,x.3.5.5.x.x,1.3.3.x.x.x
251,30,21.5,C5,Bb5,x.3.5.5.x.x,x.1.3.3.x.x
252,30,22.0,Bb5,F5,x.1.3.3.x.x,1.3.3.x.x.x
253,30,20.5,C/E,D5,0.3.2.x.x.x,x.5.7.7.x.x
254,30,21.0,D5,C5,x.5.7.7.x.x,x.3.5.5.x.x
255,30,20.0,F5,C/E,1.3.3.x.x.x,0.3.2.x.x.x
256,31,58.5,D5,E5,x.5.7.7.x.x,x.7.9.9.x.x
257,31,102.5,A5,E5,x.0.2.2.x.x,0.2.2.4.x.x
258,31,58.0,A5,D5,x.0.2.2.x.x,x.5.7.7.x.x
259,31,62.5,A5,E5,x.0.2.2.x.x,0.2.2.x.x.x
260,31,55.5,E5,A5,0.2.2.4.x.x,x.0.2.2.x.x
261,31,120.0,E5,G5,x.7.9.9.x.x,x.10.12.12.x.x
262,31,57.5,C5,A5,x.3.5.5.x.x,x.0.2.2.x.x
263,31,120.5,F#5,D5,x.9.11.11.x.x,x.5.7.7.x.x
264,31,59.5,E5,A5,x.7.9.9.x.x,x.0.2.2.x.x
265,31,120.0,G5,F#5,x.10.12.12.x.x,x.9.11.11.x.x
266,31,56.5,A5,C5,x.0.2.2.x.x,x.3.5.5.x.x
267,31,119.5,E5,D5,x.7.9.9.x.x,x.5.7.7.x.x
268,32,83.0,B5,A5,x.2.4.4.x.x,x.0.2.2.x.x
269,32,83.0,A5,E5,x.0.2.2.x.x,0.2.2.x.x.x
270,37,78.0,Dsus4,Dsus2,x.x.0.2.3.3,x.x.0.2.3.0
271,37,78.0,D,Dsus4,x.x.0.2.3.2,x.x.0.2.3.3
272,37,4.5,A,Bm,x.0.2.2.2.0,x.2.4.4.3.2
273,37,3.5,A,A,x.0.2.2.2.0,x.0.2.2.2.0
274,37,2.5,D,A,x.x.0.2.3.2,x.0.2.2.2.0
275,37,1.5,Bm,D,x.2.4.4.3.2,x.x.0.2.3.2
276,37,0.5,A,Bm,5.7.7.6.5.5,x.2.4.4.3.2
277,37,78.5,Dsus2,A,x.x.0.2.3.0,x.0.2.2.2.0
278,38,39.5,Fsus2,F5,x.8.10.10.8.8,1.3.3.x.x.x
279,38,36.5,Fsus2,Fsus2,x.8.10.10.8.8,x.8.10.10.8.8
280,38,35.5,F5,Fsus2,1.3.3.x.x.x,x.8.10.10.8.8
281,38,32.5,F5,F5,1.3.3.x.x.x,1.3.3.x.x.x
282,39,18.0,F5,E5,1.3.x.x.x.x,0.2.x.x.x.x
283,39,16.5,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
284,39,15.5,G,F5,3.2.0.0.x.x,1.3.x.x.x.x
285,39,139.5,G5,F5,3.5.x.x.x.x,1.3.x.x.x.x
286,39,16.0,F5,G5,1.3.x.x.x.x,3.5.x.x.x.x
287,39,38.5,G,Am,3.2.0.0.x.x,x.0.2.2.1.x
288,39,19.5,G5,Fsus2add13,3.5.x.x.x.x,1.3.0.0.x.x
289,39,18.5,E5,A5,0.2.x.x.x.x,5.7.x.x.x.x
290,39,1.5,G,A5,3.2.0.0.x.x,x.0.2.2.x.x
291,39,0.5,G,Fsus2add13,3.2.0.0.x.x,1.3.0.0.x.x
292,39,0.0,A5,G,x.0.2.2.x.x,3.2.0.0.x.x
293,39,1.0,Fsus2add13,G,1.3.0.0.x.x,3.2.0.0.x.x
294,39,17.5,A5,F5,5.7.x.x.x.x,1.3.x.x.x.x
295,39,19.0,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
296,40,17.5,A5,G5,x.0.2.x.x.x,3.5.x.x.x.x
297,40,18.5,G5,D5,3.5.x.x.x.x,x.x.0.2.x.x
298,40,24.0,D5,E5,x.x.0.2.x.x,0.2.x.x.x.x
299,40,24.0,E5,F5,0.2.x.x.x.x,1.3.x.x.x.x
300,40,24.0,F5,F#5,1.3.x.x.x.x,2.4.x.x.x.x
301,40,24.5,F#5,G5,2.4.x.x.x.x,3.5.x.x.x.x
302,40,97.5,A5,G5,x.0.2.x.x.x,3.5.5.x.x.x
303,44,34.0,C,G,x.3.2.0.1.0,3.2.0.0.3.3
304,44,76.5,G,E7,3.2.0.0.3.3,0.2.0.1.0.0
305,44,77.0,E7,Am,0.2.0.1.0.0,x.0.2.2.1.0
306,44,72.5,G,E,3.2.0.0.3.3,0.2.2.1.0.0
307,44,73.0,E,Am,0.2.2.1.0.0,x.0.2.2.1.0
308,44,35.0,Dm,G,x.x.0.2.3.1,3.2.0.0.3.3
309,44,17.5,Fsus2,Dm,1.3.3.0.x.x,x.x.0.2.3.1
310,44,22.5,Am7,G,x.0.2.0.1.0,3.2.0.0.3.3
311,44,77.5,Am,Dm,x.0.2.2.1.0,x.x.0.2.3.1
312,44,18.5,Dm,F,x.x.0.2.3.1,1.0.3.2.1.1
313,44,69.5,Dm,E,x.x.0.2.3.1,x.7.9.9.9.x
314,44,23.5,G,C,3.2.0.0.3.3,x.3.2.0.1.0
315,44,56.5,F,G,1.3.3.2.1.1,3.2.0.0.3.3
316,44,24.5,C,Dm,x.3.2.0.1.0,x.x.0.2.3.1
317,44,78.5,Dm,E,x.x.0.2.3.1,0.2.2.1.0.0
318,44,64.5,Am,G,x.0.2.2.1.0,3.2.0.0.3.3
319,44,34.5,G,Dm,3.2.0.0.3.3,x.x.0.2.3.1
320,44,21.5,Am7,Dm,x.0.2.0.1.0,x.x.0.2.3.1
321,44,20.5,Dm,Am7,x.x.0.2.3.1,x.0.2.0.1.0
322,44,19.5,F,Dm,1.0.3.2.1.1,x.x.0.2.3.1
323,44,47.5,C,Dm,x.3.2.0.1.3,x.x.0.2.3.1
324,44,46.5,G,C,3.2.0.0.3.3,x.3.2.0.1.3
325,44,38.0,Am,F,x.0.2.2.1.0,1.3.3.2.1.1
326,44,37.5,G,Am,3.2.0.0.3.3,x.0.2.2.1.0
327,44,38.5,F,G,1.3.3.2.1.1,3.2.0.0.0.3
328,44,79.5,E,C,0.2.2.1.0.0,x.3.2.0.1.0
329,44,39.5,G,C,3.2.0.0.0.3,x.3.2.0.1.0
330,44,25.5,Dm,C,x.x.0.2.3.1,x.3.2.0.1.0
331,46,106.5,Am,Em,x.x.10.9.10.8,x.7.9.9.8.7
332,46,15.5,G,Em,x.x.x.12.12.10,x.x.x.9.8.7
333,46,20.5,Em,F,x.x.x.9.8.7,x.x.x.10.10.8
334,46,28.5,Em,G,x.x.x.12.12.12,x.x.x.12.12.10
335,46,30.5,Em,G,x.x.x.9.8.7,x.x.x.12.12.10
336,46,101.5,Em,C/B,x.7.9.9.8.7,x.x.9.9.8.8
337,46,102.5,C/B,Em,x.x.9.9.8.8,x.7.9.9.8.7
338,46,21.5,F,Em,x.x.x.10.10.8,x.x.x.9.8.7
339,47,38.5,G#m7,Amaj9,4.x.6.4.0.2,x.0.2.4.2.4
340,47,37.5,F#9sus4,G#m7,2.x.2.4.2.4,4.x.6.4.0.2
341,47,0.5,Esus2,B/E,x.x.2.4.5.2,x.x.2.4.4.2
342,47,7.0,Cm9,Aadd9,x.x.9.8.0.0,x.0.7.6.0.0
343,47,7.0,Aadd9,E,x.0.7.6.0.0,0.2.2.1.0.0
344,47,6.5,C#m7,Cm9,9.x.9.9.0.0,x.x.9.8.0.0
345,47,20.5,Badd4(omit5),C#m7,x.x.9.8.0.0,x.x.11.9.0.0
346,47,21.5,C#m7,G#m6,x.x.11.9.0.0,4.x.2.4.4.x
347,47,22.5,G#m6,Aadd9,4.x.2.4.4.x,5.x.7.6.0.0
348,47,1.0,B/E,Amaj7/E,x.x.2.4.4.2,x.x.2.2.2.4
349,47,1.0,Amaj7/E,Eadd9,x.x.2.2.2.4,0.2.2.1.0.2
350,51,2.0,E5,D5,0.2.2.x.x.x,x.x.0.2.3.x
351,51,2.0,D5,A5,x.x.0.2.3.x,x.0.2.2.x.x
352,51,24.5,G5,D,3.x.0.0.3.3,x.x.0.2.3.2
353,51,18.0,A5,B5,x.0.2.2.x.x,x.2.4.4.x.x
354,51,18.0,B5,A5,x.2.4.4.x.x,x.0.2.2.x.x
355,51,81.5,D,A5,x.x.0.2.3.2,x.0.2.2.x.x
356,51,25.5,D,E5,x.x.0.2.3.2,0.2.2.x.x.x
357,51,18.0,A5,E5,x.0.2.2.x.x,0.2.2.x.x.x
358,51,18.0,E5,B5,0.2.2.x.x.x,x.2.4.4.x.x
359,51,19.5,B5,G5,x.2.4.4.x.x,3.x.0.0.3.3
