,filename,measure,current_chord,next_chord,current_position,next_position
1526,161,4.5,F,F,1.3.3.2.1.1,1.3.3.2.1.1
1527,161,5.5,F,Dm,1.3.3.2.1.1,x.x.0.2.3.1
1528,161,9.5,A,Dm,x.0.2.2.2.0,x.x.0.2.3.1
1529,161,13.5,A,F,x.0.2.2.2.0,1.3.3.2.1.1
1530,161,18.5,A,A,x.0.2.2.2.0,x.0.2.2.2.0
1531,161,27.5,F,C,1.3.3.2.1.1,x.3.2.0.1.0
1532,161,26.5,Bbm,F,x.1.3.3.2.1,1.3.3.2.1.1
1533,162,0.5,Asus2,A,x.0.2.2.0.0,x.0.2.2.2.0
1534,162,39.5,E7,D,0.2.2.1.3.0,x.x.0.2.3.2
1535,162,38.5,D7,E,x.x.0.2.1.2,0.2.2.1.0.0
1536,162,0.0,A,Asus2,x.0.2.2.2.0,x.0.2.2.0.0
1537,162,37.5,D7,D7,x.x.0.2.1.2,x.x.0.2.1.2
1538,162,36.5,D7,D,x.x.0.2.1.2,x.x.0.2.3.2
1539,162,35.5,A7sus2,D,x.0.2.2.0.3,x.x.0.2.3.2
1540,162,36.0,D,D7,x.x.0.2.3.2,x.x.0.2.1.2
1541,162,15.5,Gmaj7,F#m,x.x.0.0.0.2,2.4.4.2.2.2
1542,162,16.0,F#m,E,2.4.4.2.2.2,0.2.2.1.0.0
1543,162,14.5,F#m,Gmaj7,2.4.4.2.2.2,x.x.0.0.0.2
1544,162,13.5,D,F#m,x.x.0.2.3.2,2.4.4.2.2.2
1545,162,12.5,F#m,D,2.4.4.2.2.2,x.x.0.2.3.2
1546,162,43.5,E,E5,0.2.2.1.0.0,0.2.2.x.x.x
1547,162,39.0,E,E7,0.2.2.1.0.0,0.2.2.1.3.0
1548,163,54.5,A6,F#m,x.0.2.2.2.2,2.4.4.2.2.2
1549,163,46.5,Bm7,D6/G,x.2.4.2.3.2,3.0.0.0.0.2
1550,163,28.5,Dsus2,Dsus2/C#,x.x.0.2.3.0,x.4.x.2.3.0
1551,163,29.5,Dsus2/C#,Bm7,x.4.x.2.3.0,x.2.4.2.3.2
1552,163,35.5,Gsus2,Dsus2,3.x.x.2.3.3,x.x.0.2.3.0
